lattice_type,representation,variant,L,bootstrap,Tc,chi_c
square,vertex,ec,96,32,2.293741716,1.158935443
square,vertex,ec,96,33,2.293149894,1.167501829
square,vertex,ec,96,34,2.293260211,1.156540683
square,vertex,ec,96,35,2.293059643,1.160309161
square,vertex,ec,96,36,2.292438106,1.162806872
square,vertex,ec,96,37,2.293029561,1.154875733
square,vertex,ec,96,38,2.292889188,1.152008896
square,vertex,ec,96,39,2.293360508,1.156734641
square,vertex,ec,96,40,2.292808983,1.156151418
square,vertex,ec,96,41,2.292879162,1.155090345
square,vertex,ec,96,42,2.292257723,1.164977882
square,vertex,ec,96,43,2.293159923,1.152784693
square,vertex,ec,96,44,2.292598471,1.159392597
square,vertex,ec,96,45,2.292929293,1.170232265
square,vertex,ec,96,46,2.293039588,1.161579964
square,vertex,ec,96,47,2.293290299,1.156406919
square,vertex,ec,96,48,2.292608494,1.153759627
square,vertex,ec,96,49,2.293621321,1.147273118
square,vertex,ec,96,50,2.292658613,1.155427723
square,vertex,ec,96,51,2.293089726,1.147884365
square,vertex,ec,96,52,2.292668637,1.152409903
square,vertex,ec,96,53,2.292558377,1.168568584
square,vertex,ec,96,54,2.293651419,1.150193621
square,vertex,ec,96,55,2.292638565,1.174286622
square,vertex,ec,96,56,2.293220094,1.150366983
square,vertex,ec,96,57,2.292798958,1.183019565
square,vertex,ec,96,58,2.29327024,1.145594204
square,vertex,ec,96,59,2.292548354,1.147320477
square,vertex,ec,96,60,2.293109782,1.152043303
square,vertex,ec,96,61,2.293300328,1.147224689
square,vertex,ec,96,62,2.293039588,1.166126435
square,vertex,ec,96,63,2.292929293,1.147758893
square,vertex,ec,96,64,2.293460813,1.131985951
square,vertex,ec,96,65,2.292819008,1.154188211
square,vertex,ec,96,66,2.292829034,1.163326136
square,vertex,ec,96,67,2.292728783,1.164139166
square,vertex,ec,96,68,2.292107426,1.153572835
square,vertex,ec,96,69,2.292748833,1.165889273
square,vertex,ec,96,70,2.293039588,1.147647523
square,vertex,ec,96,71,2.292849085,1.155098644
square,vertex,ec,96,72,2.293390598,1.149524307
square,vertex,ec,96,73,2.292808983,1.162820708
square,vertex,ec,96,74,2.293089726,1.159821878
square,vertex,ec,96,75,2.292839059,1.16480825
square,vertex,ec,96,76,2.292638565,1.160911715
square,vertex,ec,96,77,2.292448128,1.149567574
square,vertex,ec,96,78,2.292919267,1.144167621
square,vertex,ec,96,79,2.293290299,1.149722853
square,vertex,ec,96,80,2.292528308,1.150645611
square,vertex,ec,96,81,2.292839059,1.158901223
square,vertex,ec,96,82,2.293310358,1.145529339
square,vertex,ec,96,83,2.292418062,1.162705391
square,vertex,ec,96,84,2.293009507,1.163731135
square,vertex,ec,96,85,2.292869136,1.148091963
square,vertex,ec,96,86,2.292117445,1.170121696
square,vertex,ec,96,87,2.292548354,1.149360587
square,vertex,ec,96,88,2.293320388,1.143605744
square,vertex,ec,96,89,2.293681517,1.134976707
square,vertex,ec,96,90,2.293340448,1.141067404
square,vertex,ec,96,91,2.293892228,1.154530006
square,vertex,ec,96,92,2.292748833,1.146004268
square,vertex,ec,96,93,2.292628541,1.170639695
square,vertex,ec,96,94,2.292708734,1.158169177
square,vertex,ec,96,95,2.292277764,1.160166764
square,vertex,ec,96,96,2.293169951,1.161896498
square,vertex,ec,96,97,2.293069671,1.159977127
square,vertex,ec,96,98,2.292708734,1.151965519
square,vertex,ec,96,99,2.293059643,1.155046724
square,vertex,ec,96,100,2.292879162,1.158152466
square,vertex,ec,96,101,2.292117445,1.142547295
square,vertex,ec,96,102,2.292969399,1.161618064
square,vertex,ec,96,103,2.292668637,1.158233779
square,vertex,ec,96,104,2.292367954,1.155253972
square,vertex,ec,96,105,2.293430721,1.149265507
square,vertex,ec,96,106,2.292929293,1.161776006
square,vertex,ec,96,107,2.292528308,1.145432254
square,vertex,ec,96,108,2.292969399,1.149182719
square,vertex,ec,96,109,2.293029561,1.172170319
square,vertex,ec,96,110,2.292227662,1.171748
square,vertex,ec,96,111,2.293470844,1.159933361
square,vertex,ec,96,112,2.291937112,1.153146748
square,vertex,ec,96,113,2.293440752,1.160199827
square,vertex,ec,96,114,2.292819008,1.15135149
square,vertex,ec,96,115,2.293430721,1.14202677
square,vertex,ec,96,116,2.292899214,1.165818591
square,vertex,ec,96,117,2.292819008,1.163677309
square,vertex,ec,96,118,2.292568401,1.173509721
square,vertex,ec,96,119,2.293169951,1.156163799
square,vertex,ec,96,120,2.293009507,1.139165683
square,vertex,ec,96,121,2.292538331,1.150448042
square,vertex,ec,96,122,2.292287785,1.155399252
square,vertex,ec,96,123,2.293460813,1.165135202
square,vertex,ec,96,124,2.292869136,1.158211917
square,vertex,ec,96,125,2.292788932,1.135165717
square,vertex,ec,96,126,2.293089726,1.158473599
square,vertex,ec,96,127,2.292377975,1.177093141
square,vertex,ec,96,128,2.293741716,1.140398368
square,vertex,ec,96,129,2.293049616,1.145041712
square,vertex,ec,96,130,2.292879162,1.159591142
square,vertex,ec,96,131,2.293410659,1.147491638
square,vertex,ec,96,132,2.292428084,1.152377659
square,vertex,ec,96,133,2.29311981,1.159308232
square,vertex,ec,96,134,2.292728783,1.156781761
square,vertex,ec,96,135,2.292297806,1.171667484
square,vertex,ec,96,136,2.291856974,1.142251036
square,vertex,ec,96,137,2.293671484,1.154839675
square,vertex,ec,96,138,2.29357116,1.154993433
square,vertex,ec,96,139,2.293069671,1.144405878
square,vertex,ec,96,140,2.292297806,1.157241595
square,vertex,ec,96,141,2.292468173,1.146821037
square,vertex,ec,96,142,2.292819008,1.162481551
square,vertex,ec,96,143,2.292508263,1.159194368
square,vertex,ec,96,144,2.293059643,1.156788933
square,vertex,ec,96,145,2.292949346,1.157246057
square,vertex,ec,96,146,2.292969399,1.157991958
square,vertex,ec,96,147,2.293029561,1.145595874
square,vertex,ec,96,148,2.293380568,1.149576525
square,vertex,ec,96,149,2.293169951,1.161032252
square,vertex,ec,96,150,2.292688685,1.164750742
square,vertex,ec,96,151,2.29351097,1.140120954
square,vertex,ec,96,152,2.29327024,1.141609708
square,vertex,ec,96,153,2.292778907,1.143278855
square,vertex,ec,96,154,2.292588447,1.156201574
square,vertex,ec,96,155,2.293159923,1.15716453
square,vertex,ec,96,156,2.292989453,1.14956076
square,vertex,ec,96,157,2.292398019,1.146449462
square,vertex,ec,96,158,2.292959372,1.159796033
square,vertex,ec,96,159,2.292889188,1.162526745
square,vertex,ec,96,160,2.29240804,1.136934923
square,vertex,ec,96,161,2.292859111,1.156056275
square,vertex,ec,96,162,2.292598471,1.168813852
square,vertex,ec,96,163,2.293360508,1.154030115
square,vertex,ec,96,164,2.291927095,1.144220048
square,vertex,ec,96,165,2.292488218,1.148009878
square,vertex,ec,96,166,2.293089726,1.1609438
square,vertex,ec,96,167,2.29299948,1.148442984
square,vertex,ec,96,168,2.292768882,1.163001846
square,vertex,ec,96,169,2.292829034,1.159337843
square,vertex,ec,96,170,2.292899214,1.168590219
square,vertex,ec,96,171,2.293290299,1.139177956
square,vertex,ec,96,172,2.293190008,1.151249685
square,vertex,ec,96,173,2.292849085,1.147314196
square,vertex,ec,96,174,2.293721649,1.138450208
square,vertex,ec,96,175,2.292367954,1.137690775
square,vertex,ec,96,176,2.293019534,1.158475419
square,vertex,ec,96,177,2.292538331,1.166067386
square,vertex,ec,96,178,2.292919267,1.162214984
square,vertex,ec,96,179,2.293310358,1.155135667
square,vertex,ec,96,180,2.29299948,1.153784675
square,vertex,ec,96,181,2.293079698,1.153124974
square,vertex,ec,96,182,2.293541064,1.167650307
square,vertex,ec,96,183,2.293671484,1.137628013
square,vertex,ec,96,184,2.293099754,1.158524685
square,vertex,ec,96,185,2.292528308,1.147180149
square,vertex,ec,96,186,2.292939319,1.147060624
square,vertex,ec,96,187,2.292829034,1.161276049
square,vertex,ec,96,188,2.291897042,1.160713544
square,vertex,ec,96,189,2.293651419,1.164992865
square,vertex,ec,96,190,2.293621321,1.154546657
square,vertex,ec,96,191,2.292628541,1.158658675
square,vertex,ec,96,192,2.292638565,1.151839898
square,vertex,ec,96,193,2.293099754,1.15903386
square,vertex,ec,96,194,2.292478195,1.144989415
square,vertex,ec,96,195,2.292448128,1.14538727
square,vertex,ec,96,196,2.293791885,1.153264685
square,vertex,ec,96,197,2.292808983,1.135594733
square,vertex,ec,96,198,2.29233789,1.158658505
square,vertex,ec,96,199,2.292708734,1.156369192
square,vertex,ec,128,0,2.286536095,1.881331711
square,vertex,ec,128,1,2.286476011,1.837037831
square,vertex,ec,128,2,2.286676302,1.807310912
square,vertex,ec,128,3,2.287127086,1.823413526
square,vertex,ec,128,4,2.286576152,1.860867309
square,vertex,ec,128,5,2.287066972,1.835886986
square,vertex,ec,128,6,2.286395904,1.846906918
square,vertex,ec,128,7,2.286125586,1.8507395
square,vertex,ec,128,8,2.287187204,1.838890179
square,vertex,ec,128,9,2.286355853,1.83182621
square,vertex,ec,128,10,2.286886646,1.846839428
square,vertex,ec,128,11,2.286906681,1.843405241
square,vertex,ec,128,12,2.285965427,1.829156578
square,vertex,ec,128,13,2.287127086,1.835549191
square,vertex,ec,128,14,2.286906681,1.853059057
square,vertex,ec,128,15,2.286486025,1.840718854
square,vertex,ec,128,16,2.286636241,1.846606606
square,vertex,ec,128,17,2.287337513,1.838897458
square,vertex,ec,128,18,2.287087009,1.833901593
square,vertex,ec,128,19,2.286686318,1.846480292
square,vertex,ec,128,20,2.286465997,1.852811533
square,vertex,ec,128,21,2.286746413,1.846770092
square,vertex,ec,128,22,2.286546109,1.847485101
square,vertex,ec,128,23,2.28707699,1.839999619
square,vertex,ec,128,24,2.286616211,1.841567078
square,vertex,ec,128,25,2.286766445,1.871567403
square,vertex,ec,128,26,2.286375879,1.838639875
square,vertex,ec,128,27,2.286646257,1.855598052
square,vertex,ec,128,28,2.287016878,1.841665109
square,vertex,ec,128,29,2.286496039,1.852271579
square,vertex,ec,128,30,2.286255731,1.832287061
square,vertex,ec,128,31,2.286666287,1.836537075
square,vertex,ec,128,32,2.286145607,1.855185045
square,vertex,ec,128,33,2.286606197,1.818735642
square,vertex,ec,128,34,2.286986823,1.872433675
square,vertex,ec,128,35,2.286986823,1.843896994
square,vertex,ec,128,36,2.286666287,1.841558729
square,vertex,ec,128,37,2.287267366,1.81445983
square,vertex,ec,128,38,2.286455984,1.875736389
square,vertex,ec,128,39,2.287277387,1.836667151
square,vertex,ec,128,40,2.286646257,1.799133245
square,vertex,ec,128,41,2.286956769,1.845684001
square,vertex,ec,128,42,2.286826544,1.862414112
square,vertex,ec,128,43,2.286826544,1.833087303
square,vertex,ec,128,44,2.287277387,1.838483743
square,vertex,ec,128,45,2.286275755,1.83000187
square,vertex,ec,128,46,2.286686318,1.840531291
square,vertex,ec,128,47,2.286806511,1.846812356
square,vertex,ec,128,48,2.286826544,1.826790658
square,vertex,ec,128,49,2.286095554,1.841721029
square,vertex,ec,128,50,2.286736397,1.814892294
square,vertex,ec,128,51,2.28644597,1.833011859
square,vertex,ec,128,52,2.286385891,1.83101158
square,vertex,ec,128,53,2.286165629,1.848268719
square,vertex,ec,128,54,2.286706349,1.833947389
square,vertex,ec,128,55,2.286596182,1.861483179
square,vertex,ec,128,56,2.287016878,1.831448639
square,vertex,ec,128,57,2.286626226,1.826534645
square,vertex,ec,128,58,2.286936734,1.820158139
square,vertex,ec,128,59,2.286506053,1.824175133
square,vertex,ec,128,60,2.286596182,1.841673296
square,vertex,ec,128,61,2.287878788,1.873027443
square,vertex,ec,128,62,2.28707699,1.845736822
square,vertex,ec,128,63,2.286926716,1.810887373
square,vertex,ec,128,64,2.286856595,1.82226661
square,vertex,ec,128,65,2.287207244,1.839086586
square,vertex,ec,128,66,2.286566138,1.868702713
square,vertex,ec,128,67,2.286896663,1.840068196
square,vertex,ec,128,68,2.287026897,1.825641353
square,vertex,ec,128,69,2.28644597,1.83275842
square,vertex,ec,128,70,2.286656272,1.835954838
square,vertex,ec,128,71,2.286656272,1.835488175
square,vertex,ec,128,72,2.287347534,1.838788759
square,vertex,ec,128,73,2.28644597,1.849113156
square,vertex,ec,128,74,2.286185651,1.862652462
square,vertex,ec,128,75,2.286315803,1.863067167
square,vertex,ec,128,76,2.286676302,1.851150152
square,vertex,ec,128,77,2.286556123,1.831471338
square,vertex,ec,128,78,2.286836561,1.836469314
square,vertex,ec,128,79,2.286516067,1.839349688
square,vertex,ec,128,80,2.287297429,1.829111713
square,vertex,ec,128,81,2.286215685,1.84836072
square,vertex,ec,128,82,2.286496039,1.822651046
square,vertex,ec,128,83,2.286636241,1.849281031
square,vertex,ec,128,84,2.286756429,1.821523682
square,vertex,ec,128,85,2.286746413,1.864693321
square,vertex,ec,128,86,2.286365866,1.855463297
square,vertex,ec,128,87,2.286646257,1.841005107
square,vertex,ec,128,88,2.286135596,1.869310762
