lattice_type,variant,L,bootstrap,Tc
triangular,ec,96,159,3.677767534
triangular,ec,96,160,3.676727665
triangular,ec,96,161,3.678267681
triangular,ec,96,162,3.678647883
triangular,ec,96,163,3.678337712
triangular,ec,96,164,3.677577514
triangular,ec,96,165,3.678908067
triangular,ec,96,166,3.679198315
triangular,ec,96,167,3.678938091
triangular,ec,96,168,3.678998139
triangular,ec,96,169,3.677967577
triangular,ec,96,170,3.677897559
triangular,ec,96,171,3.6780476
triangular,ec,96,172,3.678057603
triangular,ec,96,173,3.678477783
triangular,ec,96,174,3.678878044
triangular,ec,96,175,3.679188306
triangular,ec,96,176,3.678787978
triangular,ec,96,177,3.677797539
triangular,ec,96,178,3.678777971
triangular,ec,96,179,3.679338452
triangular,ec,96,180,3.678547822
triangular,ec,96,181,3.678647883
triangular,ec,96,182,3.677567514
triangular,ec,96,183,3.677477512
triangular,ec,96,184,3.679378493
triangular,ec,96,185,3.678627871
triangular,ec,96,186,3.677497512
triangular,ec,96,187,3.679208325
triangular,ec,96,188,3.678327708
triangular,ec,96,189,3.67764752
triangular,ec,96,190,3.678817999
triangular,ec,96,191,3.680029279
triangular,ec,96,192,3.678717929
triangular,ec,96,193,3.677727529
triangular,ec,96,194,3.679468588
triangular,ec,96,195,3.678447767
triangular,ec,96,196,3.678978123
triangular,ec,96,197,3.679068198
triangular,ec,96,198,3.6797389
triangular,ec,96,199,3.678297694
triangular,ec,128,0,3.668477668
triangular,ec,128,1,3.669128137
triangular,ec,128,2,3.668667781
triangular,ec,128,3,3.669468475
triangular,ec,128,4,3.669378379
triangular,ec,128,5,3.668727821
triangular,ec,128,6,3.669188192
triangular,ec,128,7,3.668927968
triangular,ec,128,8,3.668537702
triangular,ec,128,9,3.668857914
triangular,ec,128,10,3.66827757
triangular,ec,128,11,3.668767849
triangular,ec,128,12,3.668747835
triangular,ec,128,13,3.669888979
triangular,ec,128,14,3.668978009
triangular,ec,128,15,3.668227549
triangular,ec,128,16,3.669038059
triangular,ec,128,17,3.669058076
triangular,ec,128,18,3.668697801
triangular,ec,128,19,3.668867922
