lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,ec,64,193,3.701822843,0.4613977984
triangular,vertex,ec,64,194,3.700592004,0.466169798
triangular,vertex,ec,64,195,3.702063102,0.4562649105
triangular,vertex,ec,64,196,3.702744006,0.4616574595
triangular,vertex,ec,64,197,3.703014434,0.4639208206
triangular,vertex,ec,64,198,3.702563742,0.45682841
triangular,vertex,ec,64,199,3.701482529,0.4605702846
triangular,vertex,ec,96,0,3.678627871,0.8887368059
triangular,vertex,ec,96,1,3.678928083,0.8958929236
triangular,vertex,ec,96,2,3.678407746,0.8776896565
triangular,vertex,ec,96,3,3.678777971,0.8924248625
triangular,vertex,ec,96,4,3.677917564,0.8938551892
triangular,vertex,ec,96,5,3.679358472,0.9072544514
triangular,vertex,ec,96,6,3.676927594,0.893454999
triangular,vertex,ec,96,7,3.679688839,0.8980174647
triangular,vertex,ec,96,8,3.679588722,0.8914536873
triangular,vertex,ec,96,9,3.678367727,0.9177661454
triangular,vertex,ec,96,10,3.678817999,0.889484224
triangular,vertex,ec,96,11,3.678127626,0.8928025947
triangular,vertex,ec,96,12,3.677787538,0.8823322899
triangular,vertex,ec,96,13,3.678928083,0.873315899
triangular,vertex,ec,96,14,3.679208325,0.8930796018
triangular,vertex,ec,96,15,3.679228344,0.8786234949
triangular,vertex,ec,96,16,3.679038173,0.885182763
triangular,vertex,ec,96,17,3.678487789,0.8870457104
triangular,vertex,ec,96,18,3.678277685,0.8945795336
triangular,vertex,ec,96,19,3.677977579,0.876546233
triangular,vertex,ec,96,20,3.679078207,0.8808108248
triangular,vertex,ec,96,21,3.679608745,0.8904651679
triangular,vertex,ec,96,22,3.678127626,0.8841668979
triangular,vertex,ec,96,23,3.677517512,0.8779680315
triangular,vertex,ec,96,24,3.677887557,0.8902665958
triangular,vertex,ec,96,25,3.677907562,0.8877403801
triangular,vertex,ec,96,26,3.677547513,0.8856105882
triangular,vertex,ec,96,27,3.680009252,0.8774520478
triangular,vertex,ec,96,28,3.679408524,0.8918319713
triangular,vertex,ec,96,29,3.678767964,0.8905670961
triangular,vertex,ec,96,30,3.678187648,0.8986693574
triangular,vertex,ec,96,31,3.678587846,0.8833239637
triangular,vertex,ec,96,32,3.676857617,0.8869760765
triangular,vertex,ec,96,33,3.678888052,0.8697182145
triangular,vertex,ec,96,34,3.678487789,0.8850455972
triangular,vertex,ec,96,35,3.677857551,0.8903777728
triangular,vertex,ec,96,36,3.677527512,0.8738477851
triangular,vertex,ec,96,37,3.67765752,0.8958634106
triangular,vertex,ec,96,38,3.678707922,0.8875251918
triangular,vertex,ec,96,39,3.67905819,0.8939788865
triangular,vertex,ec,96,40,3.679288402,0.88625649
triangular,vertex,ec,96,41,3.678978123,0.881647667
triangular,vertex,ec,96,42,3.67913826,0.879921308
triangular,vertex,ec,96,43,3.678948099,0.8935274292
triangular,vertex,ec,96,44,3.678787978,0.8771640536
triangular,vertex,ec,96,45,3.677427512,0.8977655481
triangular,vertex,ec,96,46,3.678998139,0.8942558332
triangular,vertex,ec,96,47,3.678357722,0.8955921563
triangular,vertex,ec,96,48,3.678918075,0.8953135924
