lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,m,96,30,3.674909308,85.69652718
triangular,vertex,m,96,31,3.674709599,84.67011853
triangular,vertex,m,96,32,3.67330226,84.57822915
triangular,vertex,m,96,33,3.674969225,83.21279145
triangular,vertex,m,96,34,3.674699614,84.57521342
triangular,vertex,m,96,35,3.674450008,85.00561927
triangular,vertex,m,96,36,3.673910976,83.53127909
triangular,vertex,m,96,37,3.673312238,85.78173599
triangular,vertex,m,96,38,3.674949253,84.56409714
triangular,vertex,m,96,39,3.675538536,85.09792354
triangular,vertex,m,96,40,3.675748326,84.99204573
triangular,vertex,m,96,41,3.675278829,83.89514147
triangular,vertex,m,96,42,3.675608463,83.78205625
triangular,vertex,m,96,43,3.675728345,85.07751946
triangular,vertex,m,96,44,3.67487935,83.2829834
triangular,vertex,m,96,45,3.674220401,86.03437483
triangular,vertex,m,96,46,3.675588484,85.26954023
triangular,vertex,m,96,47,3.674190455,85.45958018
triangular,vertex,m,96,48,3.67492928,85.15358606
triangular,vertex,m,96,49,3.675738336,84.31094971
triangular,vertex,m,96,50,3.676667691,86.30928503
triangular,vertex,m,96,51,3.675688384,84.05425461
triangular,vertex,m,96,52,3.674619736,85.43643984
triangular,vertex,m,96,53,3.675238877,85.01645391
triangular,vertex,m,96,54,3.674180473,84.72268567
triangular,vertex,m,96,55,3.675228889,85.08889412
triangular,vertex,m,96,56,3.675978124,84.2786371
triangular,vertex,m,96,57,3.67487935,85.66096452
triangular,vertex,m,96,58,3.67450991,84.09754326
triangular,vertex,m,96,59,3.674400091,84.34211532
triangular,vertex,m,96,60,3.675838244,86.29702319
triangular,vertex,m,96,61,3.673322215,86.02053079
triangular,vertex,m,96,62,3.674240366,82.80757435
triangular,vertex,m,96,63,3.675049118,84.74979808
triangular,vertex,m,96,64,3.672793489,86.07999811
triangular,vertex,m,96,65,3.673910976,84.35150624
triangular,vertex,m,96,66,3.675568505,83.39449761
triangular,vertex,m,96,67,3.674739554,85.26993783
triangular,vertex,m,96,68,3.674140545,84.460539
triangular,vertex,m,96,69,3.674519894,85.34443784
triangular,vertex,m,96,70,3.675218901,85.49748632
triangular,vertex,m,96,71,3.67492928,84.27482877
triangular,vertex,m,96,72,3.675418666,84.40053376
triangular,vertex,m,96,73,3.675039131,83.92884144
triangular,vertex,m,96,74,3.675618453,84.58552444
triangular,vertex,m,96,75,3.675178951,83.88666381
triangular,vertex,m,96,76,3.674469975,85.33867829
triangular,vertex,m,96,77,3.675728345,84.95162634
triangular,vertex,m,96,78,3.673871054,83.41222612
triangular,vertex,m,96,79,3.673461904,84.14717492
triangular,vertex,m,96,80,3.674020766,84.70825695
triangular,vertex,m,96,81,3.675188938,84.61014929
triangular,vertex,m,96,82,3.674320227,84.06144269
triangular,vertex,m,96,83,3.675069092,84.38243629
